komen_youtube_debat_2024
"Keren pol, Uda berkali kali nonton ga bosen2"
Ini karya luar biasa. Nilainya 100 dari 100. Oke Gasssss
"Ini produksi 4 hari doang? gokil parah sih ampe trending #1 gak tuh, congratz! "
Slalu sukak 
"Saya belasan kali nonton nggak pernah bosen. Videonya keren pecah parah. Paling gemes saat lihat ekspresinya pak ganjar. Cuma yang agak aneh pada bagian pak hatta yang memakai tindik.
Terus apa ada yang tahu, maksud dari gusdur ambil pedang yang menancap itu apa?"
"Wedeeeeeeewwww baru nonton, merinding cuyy"
"Damn so good bruhh  
Indonesian Raya "
saking kerennya aku ulang ulang nontonnya ampee bosenn wkwk
"INI BENAR-BENAR EPIC, KEREN PARAH!!"
"KEREN!! MENYALA ABANGKUH  , Vidio debat tapi tidak ada seperti mendukung pihak 01 02 dan 03 , TERUSKAN BAKATMU RAKYAT INDONESIA 🇮🇩🇮🇩
JANLUP ""MENYALA ABANGKUH"""
keren bang serius.. lanjutkan karya karya spt ini yaaa. sukses selalu abang abang semua..
