reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
fa0f13fa-e4b7-44d5-84e7-bd4e415c836c,Erikopurnomoaji,https://play-lh.googleusercontent.com/a-/ALV-UjVFNykVAt9oteEG7C7UqyGoK498uNJfIUykbZuTAcUZWoo,Ongkirnya gak ngotak. Masa jarak 4km 40ribu sendiri biaya penanganan nya,1,0,4.55.2,2024-03-14 00:56:12,"Mohon maaf atas ketidaknyamanannya, Kak Eriko. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Tria",2024-03-14 07:13:42,4.55.2
68a91b39-3a49-44f6-8219-d528d0ee4758,purnama rindu,https://play-lh.googleusercontent.com/a/ACg8ocJKuCpm6Dn1CBPTszmqEQ0m-nyQcv6R_7KWycv5WhjS=mo,Fitur gofoodnya mengulur waktu....lllaaaamaaaaa,1,0,4.83.1,2024-03-14 00:43:41,"Hai Kak, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Tria",2024-03-14 07:12:16,4.83.1
ce334075-a66f-4d6a-a2a3-8b762efe9dfb,Uput Sayang,https://play-lh.googleusercontent.com/a/ACg8ocK0ba3JkVR7kSaCKtBDZti9GVHSC_1K6RZtNQIL3nrH=mo,Bagus cepat dan mudah tapi kalau pas hujan banyak yang cancel jadi bintang 4 dulu ya,4,0,,2024-03-14 00:23:20,,,
d1904d9e-136d-47ea-bd5d-966dfe2bcccd,Marisah Isah,https://play-lh.googleusercontent.com/a/ACg8ocIthqGMmTt87kllEF8UotgQVR2yLOJdiBc8mZ7V2ofm=mo,Jelek,1,0,4.83.1,2024-03-14 00:15:11,,,4.83.1
05cee923-74ca-4248-94b5-224dc91c95a3,Laksmana Rizki,https://play-lh.googleusercontent.com/a/ACg8ocKhnA94wuIY8s6H_ImX-Scfd3pij9rdRkCMLmUxUC3A=mo,"MULAI GA JELAS NI APP,GOFOOD NUNGGU LAMA TAPI BARU MUNCUL NOTIF SETELAH 30 MENIT LEBIH. KONYOL",1,0,4.80.4,2024-03-14 00:05:58,"Hai Kak Rizki, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Tria",2024-03-14 09:16:39,4.80.4
9528bbd3-3483-413b-b524-6c0e4425fa87,Bambang Adi Prasetyo,https://play-lh.googleusercontent.com/a/ACg8ocLCPIASIVjjkBibAYv6OAtxsG8Fk73u4twNo6krnXg=mo,Aplikasi apa ini menyediakan koin tapi giliran di pake koinya lama nyari drivernya bahkan smpe GX ada driver koinya GX guna aplikasi GX jelas,1,0,4.83.1,2024-03-13 23:47:47,"Mohon maaf atas kendalanya, Kak Bambang. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Tria",2024-03-14 07:11:05,4.83.1
5520eade-52b0-40b5-b390-805829d6d746,Maryanto mto,https://play-lh.googleusercontent.com/a/ACg8ocLjRVJ-w4VXKzdziKT_NrO2tMi26ecjANh_ygJilo9t=mo,Oke,5,0,,2024-03-13 23:39:29,,,
7ea81bf8-4c84-4e81-b4f9-9d95f0aab806,bangdjo,https://play-lh.googleusercontent.com/a-/ALV-UjV4jUQaC_J5zxKSzbBOqo4oMbB6df1aPkhoDHcNWp8OoH4,Joss..sesuai kebutuhan,5,0,4.84.1,2024-03-13 23:14:12,,,4.84.1
d57d9cd9-27c8-48a9-bef7-f91c20596a37,Hadi Sutoyo,https://play-lh.googleusercontent.com/a-/ALV-UjUEIva7G9T_qg-I0wh9rMRXMs-2S3TxIw-EyJK4SLsXNoE,"Sangat"" mmbantu saat darurat lapar.",5,0,4.83.1,2024-03-13 23:12:21,,,4.83.1
9efa1a46-6611-4abb-8783-307844e9c73d,Riyan 2710,https://play-lh.googleusercontent.com/a-/ALV-UjUuwkNDPw1Ao0qisY1DaSovHBhvDj7w30dQxr69xiQj9g,Driver malas banget nerima orderan udh berjamjam padahal di stasiun loh,1,0,4.83.1,2024-03-13 23:05:06,"Mohon maaf atas kendalanya, Kak Riyan. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Tria",2024-03-14 07:09:14,4.83.1
